file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
lie\1 (30).jpg,312.0,477.0,0.658707,297.0,488.0,0.39919448,296.0,491.0,0.5672706,309.0,527.0,0.67974997,305.0,534.0,0.58662283,389.0,499.0,0.7529784,366.0,550.0,0.61587155,484.0,501.0,0.13208781,472.0,584.0,0.8642529,503.0,460.0,0.23901181,470.0,471.0,0.7241142,608.0,489.0,0.71622527,595.0,539.0,0.6678399,788.0,517.0,0.6235961,787.0,569.0,0.70412725,953.0,539.0,0.5748091,974.0,599.0,0.86055887,0,lie
lie\1 (31).jpg,78.0,70.0,0.6899124,75.0,67.0,0.8180866,73.0,76.0,0.7090936,78.0,67.0,0.64156705,77.0,86.0,0.7639717,94.0,56.0,0.73163927,93.0,100.0,0.8982556,107.0,32.0,0.8961299,90.0,135.0,0.9300167,72.0,31.0,0.8455096,65.0,117.0,0.80661297,160.0,68.0,0.7118602,157.0,95.0,0.8369552,200.0,53.0,0.61728776,202.0,108.0,0.80268425,244.0,46.0,0.86753166,244.0,123.0,0.7438515,0,lie
lie\1 (32).jpg,78.0,81.0,0.7669002,73.0,76.0,0.69582164,71.0,85.0,0.6844526,75.0,71.0,0.57338417,74.0,91.0,0.679973,98.0,57.0,0.9226608,97.0,101.0,0.8588924,109.0,39.0,0.7705362,107.0,126.0,0.9047562,119.0,12.0,0.9054594,115.0,153.0,0.77634335,154.0,68.0,0.655859,154.0,96.0,0.9006239,183.0,48.0,0.72878027,192.0,105.0,0.69745135,223.0,24.0,0.84603024,237.0,114.0,0.8787027,0,lie
lie\1 (33).jpg,359.0,150.0,0.6388774,375.0,133.0,0.4322752,354.0,136.0,0.6335192,422.0,133.0,0.48985052,368.0,140.0,0.26393166,482.0,232.0,0.7200309,332.0,227.0,0.68160665,577.0,331.0,0.72554255,273.0,339.0,0.8173293,591.0,218.0,0.5376928,277.0,455.0,0.62529415,437.0,452.0,0.76915526,338.0,448.0,0.7645105,454.0,672.0,0.50496113,220.0,596.0,0.48379946,450.0,853.0,0.20836717,347.0,685.0,0.3190567,0,lie
lie\1 (34).jpg,214.0,110.0,0.4529474,220.0,116.0,0.6627089,219.0,112.0,0.75883424,219.0,130.0,0.7435801,218.0,124.0,0.5600054,203.0,133.0,0.790684,193.0,118.0,0.6459774,167.0,148.0,0.74807847,162.0,126.0,0.49432155,130.0,150.0,0.7827353,132.0,133.0,0.31048647,125.0,132.0,0.58009183,125.0,119.0,0.7578118,87.0,100.0,0.74552894,90.0,97.0,0.6533255,51.0,137.0,0.5706508,52.0,132.0,0.45436105,0,lie
lie\1 (36).jpg,696.0,119.0,0.32404056,711.0,126.0,0.42486855,713.0,126.0,0.33688083,700.0,164.0,0.6770619,701.0,159.0,0.62661207,640.0,173.0,0.6951811,632.0,143.0,0.6301491,541.0,215.0,0.6562072,555.0,145.0,0.1733706,566.0,119.0,0.74838966,566.0,117.0,0.35120273,406.0,170.0,0.606884,407.0,139.0,0.74378294,268.0,182.0,0.55552745,282.0,127.0,0.35666054,87.0,174.0,0.69491434,119.0,143.0,0.37115794,0,lie
lie\1 (37).jpg,921.0,95.0,0.62100863,942.0,112.0,0.6063764,936.0,110.0,0.69521284,937.0,160.0,0.83815265,931.0,152.0,0.53284013,883.0,175.0,0.82574,848.0,137.0,0.6058414,746.0,218.0,0.6515064,714.0,162.0,0.3476022,599.0,230.0,0.77950746,594.0,196.0,0.3463519,589.0,169.0,0.678186,572.0,128.0,0.789827,351.0,182.0,0.6040194,358.0,140.0,0.6381116,84.0,224.0,0.8311999,194.0,156.0,0.7262882,0,lie
lie\1 (39).jpg,989.0,421.0,0.43399465,993.0,453.0,0.4338927,1026.0,444.0,0.53591114,948.0,547.0,0.45118868,1025.0,508.0,0.4698306,813.0,541.0,0.7068695,978.0,465.0,0.6721426,551.0,560.0,0.36444634,852.0,418.0,0.17841125,360.0,559.0,0.7169905,700.0,417.0,0.12740272,514.0,472.0,0.626745,598.0,406.0,0.696786,281.0,428.0,0.52429235,351.0,381.0,0.34093603,162.0,394.0,0.5056679,222.0,373.0,0.20223905,0,lie
lie\1 (40).jpg,255.0,103.0,0.63757503,274.0,88.0,0.89153594,250.0,94.0,0.8404929,316.0,99.0,0.8434423,263.0,103.0,0.7655369,382.0,191.0,0.82609487,216.0,182.0,0.7697,418.0,317.0,0.8682585,103.0,151.0,0.8213372,327.0,330.0,0.7800047,183.0,64.0,0.6885779,329.0,409.0,0.93112075,239.0,397.0,0.8612735,302.0,624.0,0.9467034,162.0,600.0,0.8833064,292.0,787.0,0.80726194,210.0,749.0,0.72805464,0,lie
lie\1 (41).jpg,343.0,121.0,0.43381572,349.0,128.0,0.47164518,347.0,124.0,0.6261859,347.0,145.0,0.60882604,344.0,137.0,0.4970869,330.0,154.0,0.7137041,312.0,131.0,0.6541668,280.0,179.0,0.6562209,266.0,143.0,0.55754006,228.0,179.0,0.5686978,221.0,146.0,0.33542535,222.0,155.0,0.68169236,217.0,136.0,0.73516345,134.0,156.0,0.8540471,134.0,142.0,0.7648549,49.0,166.0,0.6929995,50.0,155.0,0.6787801,0,lie
lie\1 (42).jpg,216.0,67.0,0.70294404,220.0,60.0,0.76580346,209.0,60.0,0.7377876,220.0,61.0,0.32972297,192.0,59.0,0.6942731,222.0,99.0,0.53575015,167.0,96.0,0.75086415,272.0,92.0,0.56145257,120.0,74.0,0.78929013,266.0,48.0,0.6730449,150.0,32.0,0.47423124,209.0,198.0,0.7454808,168.0,199.0,0.73986995,226.0,279.0,0.7760277,146.0,280.0,0.6487888,245.0,361.0,0.4373839,139.0,354.0,0.43222016,0,lie
lie\1 (44).jpg,213.0,37.0,0.6854362,219.0,39.0,0.6921936,216.0,37.0,0.5286797,220.0,50.0,0.81482965,216.0,44.0,0.6015047,215.0,62.0,0.88090986,191.0,45.0,0.7467623,222.0,87.0,0.66924,169.0,41.0,0.85977775,230.0,116.0,0.8860661,144.0,35.0,0.81326973,158.0,82.0,0.7807278,143.0,67.0,0.85607886,108.0,115.0,0.47225305,94.0,87.0,0.73835576,86.0,138.0,0.52708143,92.0,131.0,0.31465587,0,lie
lie\1 (46).jpg,75.0,105.0,0.45781475,68.0,104.0,0.6043538,73.0,113.0,0.6016145,60.0,109.0,0.39930645,71.0,131.0,0.6181481,64.0,98.0,0.6465124,96.0,133.0,0.5950336,23.0,87.0,0.79994327,100.0,157.0,0.63682574,30.0,123.0,0.4685582,60.0,144.0,0.7504456,161.0,95.0,0.62010956,179.0,119.0,0.4024126,202.0,88.0,0.5253297,204.0,91.0,0.27261573,240.0,96.0,0.44872126,243.0,99.0,0.49228248,0,lie
lie\1 (47).jpg,290.0,26.0,0.5621666,304.0,30.0,0.4291654,291.0,22.0,0.25138652,312.0,56.0,0.73969424,283.0,28.0,0.4486007,300.0,71.0,0.6537138,238.0,52.0,0.5920601,286.0,93.0,0.5766892,179.0,66.0,0.293327,252.0,107.0,0.84028995,184.0,61.0,0.5133134,199.0,90.0,0.61038333,166.0,79.0,0.7141534,151.0,109.0,0.55693674,108.0,92.0,0.17448312,96.0,106.0,0.12191415,28.0,120.0,0.3392612,0,lie
lie\1 (49).jpg,209.0,76.0,0.645476,213.0,80.0,0.7404326,213.0,78.0,0.6698015,212.0,90.0,0.8398965,210.0,85.0,0.57353115,202.0,98.0,0.8838963,188.0,81.0,0.7883704,220.0,116.0,0.78686357,180.0,75.0,0.63836694,241.0,127.0,0.91770655,176.0,61.0,0.7693399,150.0,103.0,0.73359346,142.0,91.0,0.8537078,111.0,123.0,0.7750368,94.0,100.0,0.69667345,74.0,144.0,0.86969095,54.0,109.0,0.87504214,0,lie
lie\1 (50).jpg,103.0,208.0,0.598563,93.0,218.0,0.68357325,94.0,221.0,0.5594057,107.0,250.0,0.7063396,105.0,255.0,0.7420496,165.0,239.0,0.55666506,163.0,263.0,0.6982541,274.0,251.0,0.40398747,282.0,286.0,0.665421,386.0,265.0,0.37113595,386.0,287.0,0.7744694,393.0,224.0,0.77997065,396.0,249.0,0.64942896,529.0,228.0,0.7416018,536.0,243.0,0.660843,673.0,239.0,0.6631868,698.0,261.0,0.707701,0,lie
lie\1 (51).jpg,65.0,83.0,0.83661306,60.0,82.0,0.7501608,59.0,90.0,0.66424894,65.0,83.0,0.7116045,66.0,99.0,0.7433931,84.0,70.0,0.921115,84.0,108.0,0.9521368,109.0,51.0,0.7200581,104.0,131.0,0.9199943,122.0,31.0,0.88477373,119.0,154.0,0.7646965,147.0,75.0,0.8829927,148.0,97.0,0.8381161,187.0,67.0,0.90402067,189.0,108.0,0.75089526,227.0,59.0,0.84057,233.0,122.0,0.85524046,0,lie
lie\1 (52).jpg,474.0,199.0,0.62135655,469.0,177.0,0.58564943,444.0,179.0,0.5935639,435.0,189.0,0.51737624,380.0,200.0,0.53748477,518.0,309.0,0.9103624,294.0,306.0,0.91486037,585.0,497.0,0.91264224,215.0,469.0,0.90434086,653.0,647.0,0.8519962,304.0,516.0,0.6795231,476.0,643.0,0.90650535,329.0,631.0,0.87113255,519.0,911.0,0.7399672,297.0,914.0,0.7672089,394.0,1152.0,0.5837244,300.0,1174.0,0.6354453,0,lie
lie\1 (53).jpg,343.0,121.0,0.43381572,349.0,128.0,0.47164518,347.0,124.0,0.6261859,347.0,145.0,0.60882604,344.0,137.0,0.4970869,330.0,154.0,0.7137041,312.0,131.0,0.6541668,280.0,179.0,0.6562209,266.0,143.0,0.55754006,228.0,179.0,0.5686978,221.0,146.0,0.33542535,222.0,155.0,0.68169236,217.0,136.0,0.73516345,134.0,156.0,0.8540471,134.0,142.0,0.7648549,49.0,166.0,0.6929995,50.0,155.0,0.6787801,0,lie
lie\1 (6).jpg,41.0,41.0,0.7055913,34.0,45.0,0.64552677,33.0,48.0,0.62774014,36.0,59.0,0.6272403,35.0,68.0,0.79773295,72.0,63.0,0.5812726,65.0,77.0,0.65301514,116.0,86.0,0.18494415,112.0,89.0,0.42176354,140.0,85.0,0.42339152,26.0,207.0,0.5262284,152.0,93.0,0.3198482,146.0,108.0,0.17897986,227.0,78.0,0.22211972,250.0,192.0,0.63506204,310.0,73.0,0.2563632,330.0,204.0,0.6220176,0,lie
lie\1 (7).jpg,277.0,105.0,0.8596163,296.0,89.0,0.9066,272.0,92.0,0.6109519,344.0,103.0,0.69673526,281.0,100.0,0.71408856,397.0,202.0,0.8547554,225.0,174.0,0.75820696,442.0,336.0,0.80037105,135.0,271.0,0.8005934,335.0,340.0,0.683953,77.0,369.0,0.71290743,256.0,346.0,0.4920579,150.0,323.0,0.53410965,190.0,367.0,0.17852253,79.0,371.0,0.2392723,75.0,382.0,0.16999702,70.0,379.0,0.22340752,0,lie
lie\1 (9).jpg,124.0,58.0,0.8502961,130.0,53.0,0.89724493,116.0,53.0,0.91818804,138.0,59.0,0.69937056,107.0,60.0,0.78501946,159.0,96.0,0.8230743,87.0,97.0,0.9361613,172.0,154.0,0.93531764,77.0,153.0,0.88170695,189.0,201.0,0.86508524,60.0,201.0,0.9370504,142.0,193.0,0.8539583,97.0,191.0,0.79917395,142.0,285.0,0.8665687,99.0,282.0,0.8353249,146.0,357.0,0.83053875,100.0,354.0,0.7507119,0,lie
lie\16_F150B_2_300.jpg,1016.0,589.0,0.7072418,1014.0,585.0,0.41452554,1000.0,593.0,0.439178,1023.0,595.0,0.4915682,991.0,620.0,0.81729335,1068.0,616.0,0.742844,996.0,651.0,0.94902873,1129.0,664.0,0.56240565,1019.0,712.0,0.92427653,1182.0,696.0,0.47616905,1053.0,735.0,0.734443,1150.0,684.0,0.8015963,1102.0,706.0,0.7266121,1244.0,771.0,0.61722773,1207.0,784.0,0.72732294,1335.0,857.0,0.504786,1311.0,871.0,0.51646453,0,lie
lie\16_F150B_2_303.jpg,1015.0,590.0,0.63983774,1015.0,585.0,0.44255427,1000.0,592.0,0.5397335,1024.0,595.0,0.41840068,990.0,620.0,0.49361807,1070.0,618.0,0.8459071,1001.0,655.0,0.73087764,1131.0,666.0,0.48608068,1012.0,719.0,0.6229958,1189.0,702.0,0.30642542,1034.0,710.0,0.6960677,1150.0,687.0,0.48640034,1106.0,707.0,0.6716793,1244.0,773.0,0.6707073,1210.0,789.0,0.76326275,1332.0,859.0,0.56546605,1312.0,872.0,0.44930935,0,lie
lie\16_F150B_2_304.jpg,1016.0,589.0,0.786741,1014.0,587.0,0.7093146,1001.0,593.0,0.7669311,1021.0,597.0,0.57833135,990.0,620.0,0.8092596,1069.0,613.0,0.6600554,996.0,655.0,0.918023,1127.0,663.0,0.5307609,1013.0,724.0,0.68387276,1146.0,673.0,0.15614945,1035.0,690.0,0.65425205,1149.0,688.0,0.7331963,1104.0,709.0,0.7617292,1243.0,769.0,0.64297146,1209.0,782.0,0.8328688,1337.0,857.0,0.65025735,1311.0,874.0,0.55224144,0,lie
lie\16_F150B_2_305.jpg,1014.0,589.0,0.7952603,1013.0,586.0,0.60157454,999.0,593.0,0.726017,1022.0,596.0,0.5737269,989.0,622.0,0.7941531,1067.0,614.0,0.6480037,996.0,656.0,0.8773969,1129.0,662.0,0.50637186,1013.0,723.0,0.82136196,1145.0,670.0,0.12853222,1009.0,684.0,0.637861,1149.0,687.0,0.7789828,1102.0,707.0,0.7581626,1243.0,770.0,0.65643203,1209.0,784.0,0.8764839,1336.0,857.0,0.63141996,1311.0,873.0,0.6164328,0,lie
lie\16_F150B_2_306.jpg,1015.0,590.0,0.62014705,1015.0,587.0,0.47425303,1000.0,592.0,0.7647447,1023.0,597.0,0.58305466,989.0,619.0,0.6520318,1064.0,617.0,0.71760523,995.0,657.0,0.8101245,1126.0,661.0,0.46311578,1009.0,719.0,0.781733,1131.0,665.0,0.16228841,1002.0,663.0,0.52464616,1146.0,688.0,0.75477195,1102.0,708.0,0.7320838,1245.0,773.0,0.61784226,1208.0,786.0,0.76915514,1332.0,856.0,0.62542796,1312.0,871.0,0.6320422,0,lie
lie\16_F150B_2_307.jpg,1017.0,590.0,0.84625596,1015.0,589.0,0.7524338,1001.0,593.0,0.8961603,1019.0,598.0,0.5911622,988.0,621.0,0.67825997,1063.0,614.0,0.75325876,996.0,654.0,0.7651324,1125.0,657.0,0.4651386,1005.0,711.0,0.7538942,1135.0,666.0,0.13051344,991.0,642.0,0.78756845,1145.0,683.0,0.74397635,1097.0,704.0,0.756054,1245.0,770.0,0.7188765,1207.0,784.0,0.67159295,1332.0,857.0,0.58394873,1311.0,874.0,0.53323495,0,lie
lie\16_F150B_2_309.jpg,1014.0,591.0,0.85027003,1012.0,588.0,0.82144856,999.0,594.0,0.8632725,1020.0,594.0,0.5294606,991.0,620.0,0.8389342,1067.0,614.0,0.89277744,998.0,653.0,0.9035497,1128.0,657.0,0.49429536,997.0,697.0,0.8623948,1179.0,693.0,0.45304978,975.0,632.0,0.8911081,1143.0,683.0,0.8493665,1097.0,704.0,0.79854727,1244.0,769.0,0.7031193,1211.0,785.0,0.8617345,1332.0,854.0,0.6416669,1311.0,875.0,0.6754416,0,lie
lie\16_F150B_2_311.jpg,1014.0,589.0,0.7363932,1012.0,587.0,0.6058911,998.0,594.0,0.8632816,1020.0,594.0,0.6125357,988.0,622.0,0.8673502,1068.0,615.0,0.807524,1001.0,654.0,0.77013254,1133.0,655.0,0.45703405,986.0,676.0,0.7119194,1189.0,699.0,0.5125418,966.0,626.0,0.88323325,1145.0,683.0,0.8134938,1099.0,702.0,0.7900375,1245.0,772.0,0.6468581,1209.0,786.0,0.76467246,1331.0,855.0,0.6456084,1311.0,874.0,0.74408394,0,lie
lie\16_F150B_2_313.jpg,1011.0,590.0,0.74743956,1010.0,586.0,0.65340114,997.0,593.0,0.82622504,1018.0,595.0,0.6272827,988.0,620.0,0.77709705,1070.0,613.0,0.88094157,1000.0,657.0,0.7480381,1127.0,653.0,0.20543994,979.0,663.0,0.7870686,1138.0,661.0,0.13008589,957.0,623.0,0.8600464,1145.0,683.0,0.82040185,1098.0,705.0,0.74811995,1243.0,770.0,0.69566166,1208.0,785.0,0.7802588,1329.0,856.0,0.4862726,1311.0,872.0,0.61351013,0,lie
lie\16_F150B_2_314.jpg,1014.0,590.0,0.63046443,1013.0,585.0,0.6571181,999.0,593.0,0.61611974,1022.0,594.0,0.44463807,989.0,621.0,0.7185825,1070.0,616.0,0.7305052,1003.0,656.0,0.76292783,1136.0,658.0,0.24276966,977.0,659.0,0.67991054,1191.0,702.0,0.27441671,953.0,624.0,0.76592124,1148.0,686.0,0.81140304,1102.0,703.0,0.70802623,1245.0,773.0,0.56813014,1209.0,785.0,0.7567979,1333.0,858.0,0.5256948,1311.0,872.0,0.5256851,0,lie
lie\16_F150B_2_315.jpg,1014.0,592.0,0.74811363,1012.0,586.0,0.7413334,997.0,594.0,0.7831642,1018.0,594.0,0.62220895,988.0,621.0,0.90679663,1069.0,615.0,0.93007076,996.0,654.0,0.7310239,1130.0,652.0,0.26777142,974.0,658.0,0.85949284,1189.0,698.0,0.33178306,948.0,625.0,0.88289213,1147.0,681.0,0.8000653,1097.0,702.0,0.77350575,1244.0,770.0,0.7590066,1206.0,783.0,0.75750124,1330.0,855.0,0.52032197,1311.0,871.0,0.70936537,0,lie
